Season,Date submitted,Order number,Username,Order status,Due date,Charged,Charged amount,Charged by operator,Product name,Physical document,Copies,Paper size,Paper color,Paper type,Print color,Single or double sided,Binding,Stab binding Material,Saddle stitch binding Material,Saddle stitch binding Binding Edge,Stapling Position,Front cover,Front cover Print on cover,Back cover,Hole punching,Laminating,Cutting,Collating,Folding,Packaging,Material name,Material color,Print Information (DMC staff only) Square Inches,Print Information (DMC staff only) Printer,Print information Print mode,Print information Filament Weight (CLC/DMC Staff use only),Special Information (Operator Only) Job difficulty,Special Information (Operator Only) Machine,Delivery option,Delivery label,Delivery details,Proof required,Total color pages,Total grayscale pages
Fall 2025,12/5/2025 11:50,27218.0,laom7968,Completed - Ready For Pickup,12/8/2025,Yes,$2.82 ,macl5840,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/5/2025 11:50,27217.0,laom7968,Completed - Ready For Pickup,12/8/2025,Yes,$2.82 ,macl5840,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/5/2025 11:49,27216.0,laom7968,Completed - Ready For Pickup,12/8/2025,Yes,$5.66 ,macl5840,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/5/2025 11:01,27215.0,taho1195,Completed - Ready For Pickup,12/8/2025,Yes,$5.66 ,macl5840,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/5/2025 9:53,27214.0,eler9304,Completed - Ready For Pickup,12/8/2025,Yes,$5.66 ,tani4057,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/5/2025 9:43,27213.0,suta9222,Completed - Ready For Pickup,12/8/2025,Yes,$5.66 ,macl5840,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/5/2025 6:42,27211.0,segu8957,Completed - Ready For Pickup,12/10/2025,Yes,$1.62 ,assh2097,3D Print,No,1.0,,,,,,,,,,,,,,,,,,,,PLA,brown,,,High Speed,50.7,< 2 hrs,Bambu X1 Carbon,Pick Up at DMC,,,,0.0,0.0
Fall 2025,12/5/2025 5:20,27210.0,saha4604,Completed - Ready For Pickup,12/8/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/5/2025 4:03,27209.0,daha3420,Completed - Ready For Pickup,12/8/2025,Yes,$5.66 ,assh2097,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/5/2025 3:29,27208.0,drtr6720,Completed - Ready For Pickup,12/8/2025,Yes,$5.66 ,tani4057,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/5/2025 0:44,27207.0,anpe7197,Completed - Ready For Pickup,12/8/2025,Yes,$2.82 ,tani4057,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/5/2025 0:23,27206.0,clja1647,Waiting For Response,12/8/2025,No,,,Document,No,1.0,Letter (8.5 x 11),White,Generic Printer Paper,Color,Double sided,,,,,,,,,,,,,,,,,,,,,,,Pick Up at DMC,,,,3.0,0.0
Fall 2025,12/5/2025 0:22,27205.0,clja1647,Completed - Ready For Pickup,12/8/2025,Yes,$1.47 ,assh2097,Document,No,3.0,Letter (8.5 x 11),White,Cardstock,Color,Double sided,,,,,,,,,,,,,,,,,,,,,,,Pick Up at DMC,,,,3.0,0.0
Fall 2025,12/4/2025 22:05,27204.0,suta9222,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,tani4057,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 21:24,27203.0,dela1167,Cancelled,12/5/2025,No,,,Document,No,1.0,Tabloid (11 x 17),White,Cardstock,Color,Single sided,,,,,,,,,,,,,,,,,,,,,,,Pick Up at DMC,,,,27.0,15.0
Fall 2025,12/4/2025 20:43,27202.0,luhe3565,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,tani4057,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 20:21,27201.0,alle5434,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,tani4057,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 19:35,27200.0,jodu1175,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,tani4057,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 18:07,27199.0,loha8912,Completed - Ready For Pickup,12/5/2025,Yes,$0.98 ,assh2097,Document,No,3.0,Letter (8.5 x 11),White,Cardstock,Color,Double sided,,,,,,,,,,,,,,,,,,,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/4/2025 16:54,27198.0,rodu8682,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 16:24,27197.0,roof5600,Approved - Waiting in Line,12/9/2025,Yes,$1.42 ,magl3911,3D Print,No,2.0,,,,,,,,,,,,,,,,,,,,PLA,Translucent Lavender,,,High Speed,,,,Pick Up at DMC,,,,0.0,0.0
Fall 2025,12/4/2025 16:15,27196.0,nojo1657,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,amco3931,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 15:55,27195.0,alkl8440,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 15:28,27194.0,argy1920,Completed - Ready For Pickup,12/5/2025,Yes,$0.00 ,amco3931,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,4.0,0.0
Fall 2025,12/4/2025 15:07,27193.0,racl9564,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,amco3931,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 15:01,27192.0,symc7829,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,amco3931,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 14:47,27189.0,jodu1175,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 14:19,27188.0,lipo2678,Completed - Ready For Pickup,12/5/2025,Yes,$2.82 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 14:16,27187.0,emzh4937,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 13:05,27186.0,isde7460,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 13:02,27185.0,lipo2678,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 12:54,27184.0,lipo2678,Waiting For Response,12/5/2025,No,,,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 12:48,27183.0,kare9449,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 12:25,27182.0,cako4442,Completed - Ready For Pickup,12/5/2025,Yes,$6.50 ,bhvi9697,Booklet,No,2.0,Tabloid,White,24lb Bond,Color,,Stapling,,,,Left,Cardstock,,,,,,,,,,,,,,,,,Pick Up at DMC,,,,14.0,0.0
Fall 2025,12/4/2025 12:11,27181.0,argy1920,Completed - Ready For Pickup,12/5/2025,Yes,$2.82 ,eeto3049,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 11:48,27180.0,grje8745,Completed - Ready For Pickup,12/5/2025,Yes,$1.80 ,assh2097,Document,No,1.0,Letter (8.5 x 11),White,Generic Printer Paper,Color,Double sided,,,,,,,,,,,,,,,,,,,,,,,Pick Up at DMC,,,,48.0,0.0
Fall 2025,12/4/2025 11:41,27179.0,viru7261,Completed - Ready For Pickup,12/5/2025,Yes,$2.82 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 11:04,27178.0,ammo5499,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 11:00,27177.0,joro7781,Completed - Ready For Pickup,12/5/2025,Yes,$2.82 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 10:32,27176.0,symc7829,Completed - Ready For Pickup,12/5/2025,Yes,$2.82 ,eeto3049,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 10:18,27175.0,nijo4558,Completed - Ready For Pickup,12/5/2025,Yes,$2.82 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 9:57,27174.0,lath9385,Cancelled,12/5/2025,No,,,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 9:43,27173.0,evsl6095,Completed - Ready For Pickup,12/5/2025,Yes,$2.82 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 9:16,27171.0,cagi7283,Completed - Ready For Pickup,12/5/2025,Yes,$2.82 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 9:12,27170.0,rost7729,Completed - Ready For Pickup,12/5/2025,Yes,$2.82 ,eeto3049,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 8:20,27169.0,amma2374,Completed - Ready For Pickup,12/5/2025,Yes,$2.82 ,eeto3049,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 8:17,27168.0,juse8529,Cancelled,12/5/2025,No,,,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 8:06,27167.0,ashe5245,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,eeto3049,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 7:17,27166.0,mipe2887,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 7:05,27165.0,slea3781,Cancelled,12/5/2025,No,,,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,0.0,0.0
Fall 2025,12/4/2025 6:31,27164.0,cuma9967,Waiting For Response,12/5/2025,No,,,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 4:42,27163.0,haga7025,Completed - Ready For Pickup,12/5/2025,Yes,$5.64 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 4:19,27162.0,nopo2808,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 3:59,27161.0,daju6125,Completed - Ready For Pickup,12/5/2025,Yes,$2.82 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 3:17,27160.0,kywi5289,Completed - Ready For Pickup,12/5/2025,Yes,$2.82 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 3:13,27159.0,lico6704,Completed - Ready For Pickup,12/5/2025,Yes,$2.82 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 2:55,27158.0,tyti2329,Completed - Ready For Pickup,12/5/2025,Yes,$11.32 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/4/2025 2:40,27157.0,chth9785,Completed - Ready For Pickup,12/5/2025,Yes,$11.32 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 2:27,27156.0,lipo2678,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,eeto3049,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 2:23,27155.0,alpl9960,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,eeto3049,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 2:05,27154.0,frmo4690,Completed - Ready For Pickup,12/5/2025,Yes,$2.82 ,eeto3049,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 2:01,27153.0,slea3781,Completed - Ready For Pickup,12/5/2025,Yes,$2.82 ,eeto3049,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 1:53,27152.0,jaba4781,Completed - Ready For Pickup,12/5/2025,Yes,$2.82 ,eeto3049,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 1:44,27151.0,seho9141,Completed - Ready For Pickup,12/5/2025,Yes,$2.82 ,eeto3049,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 1:43,27150.0,sian3934,Completed - Ready For Pickup,12/5/2025,Yes,$5.66 ,eeto3049,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,144,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/4/2025 1:31,27149.0,jodu1175,Completed - Ready For Pickup,12/5/2025,Yes,$2.82 ,macl5840,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,2.0,0.0
